Primary CATEGORIES,CATEGORIES ID,Secondary CATEGORIES,CATEGORIES ID
Underwear,200574005,,
,200574005,Bikinis,200001866
,200574005,Men's Socks,200000384
,200574005,Men's Sleep & Lounge,200001813
,200574005,Men's Underwears,200001865
,200574005,Women's Sleep & Lounge,200001894
,200574005,Women's Intimates,200000349
,200574005,Women's Socks & Hosiery,200000854
Apparel & Accessories,3,,
,3,Sportswears,200003274
Automobiles & Motorcycles,34,,
,34,Auto Replacement Parts,200000212
,34,Car Electronics,200000285
,34,Car Lights,200002005
,34,Car Repair Tool,200259142
,34,Car Wash & Maintenance,200260142
,34,Exterior Accessories,200003427
,34,Interior Accessories,200003411
,34,Motorcycle Accessories & Parts,200000242
,34,Other Vehicle Parts & Accessories,200004043
Beauty & Health,66,,
,66,Bath & Shower,200001288
,66,Fragrances & Deodorants,200001221
,66,Hair Care & Styling,200001168
,66,Health Care,200001355
,66,Makeup,660103
,66,Nail Art & Tools,200001147
,66,Oral Hygiene,3305
,66,Sanitary Paper,1513
,66,Sex Products,200001508
,66,Shaving & Hair Removal,660302
,66,Skin Care,3306
,66,Skin Care Tool,100000616
,66,Tattoo & Body Art,200001976
,66,Tools & Accessories,200001187
Computer & Office,7,,
,7,Computer Cables & Connectors,70806
,7,Computer Cleaners,708022
,7,Computer Components,200001076
,7,Computer Peripherals,200001081
,7,DIY Gaming Computer,200048142
,7,Demo board & Accessories,200185144
,7,Desktops,701
,7,External Storage,200001074
,7,Industrial Computer & Accessories,100005330
,7,Internal Storage,200154144
,7,KVM Switches,100005329
,7,Laptop Accessories,200001083
,7,Laptops,702
,7,Mini PC,70803003
,7,Networking,200001077
,7,Office Electronics,200003782
,7,Office Software,200318143
,7,Servers,703
,7,Tablet Accessories,200001085
,7,Tablets,200001086
Consumer Electronics,44,,
,44,Accessories & Parts,629
,44,Camera & Photo,100000305
,44,Electronic Cigarettes,200003561
,44,Games & Accessories,100000310
,44,Home Audio & Video Equipments,100000308
,44,Portable Audio & Video,100000306
,44,Smart Electronics,200003803
Electronic Components & Supplies,502,,
,502,Active Components,4001
,502,EL Products,150412
,502,Electronic Accessories & Supplies,4003
,502,Electronic Data Systems,504
,502,Electronic Signs,150407
,502,Electronics Production Machinery,4002
,502,Electronics Stocks,515
,502,Optoelectronic Displays,4004
,502,Other Electronic Components,4099
,502,Passive Components,4005
Food,2,,
,2,Coffee,200001238
,2,Dried Fruit,200001317
,2,Dried Goods / Local Specialties,200003573
,2,Grain Products,200001287
,2,Grocery,200180142
,2,Medlar,200003606
,2,Nut & Kernel,200001321
,2,Tea,100007269
Furniture,1503,,
,1503,Bar Furniture,100001029
,1503,Café Furniture,200130145
,1503,Children Furniture,100003019
,1503,Commercial Furniture,150301
,1503,Furniture Accessories,3712
,1503,Furniture Parts,3708
,1503,Home Furniture,150303
,1503,Office Furniture,150304
,1503,Other Furniture,150399
,1503,Outdoor Furniture,150302
Hair Extensions & Wigs,200165144,,
,200165144,Human Wigs( For Black),127886013
,200165144,Beauty Supply,200317142
,200165144,Hair Salon Supply,200319142
,200165144,Human Hair (For Black),200168146
,200165144,Human Hair (For White),200166144
,200165144,Synthetic Hair,200167144
,200165144,Synthetic Hair(For White),200396142
Home & Garden,15,,
,15,"Arts,Crafts & Sewing",200003937
,15,Collectibles,200003998
,15,Festive & Party Supplies,100001824
,15,Garden Supplies,125
,15,Home Decor,3710
,15,Home Storage & Organization,1541
,15,Home Textile,405
,15,Household Merchandises,200033149
,15,"Kitchen,Dining & Bar",200000920
,15,Pet Products,100006664
Home Appliances,6,,
,6,Commercial Appliances,200235142
,6,Home Appliance Parts,100000039
,6,Home Appliances Stocks,631
